"pandora_topic_id","topic_term","cnt"
"TP:112509","Dan Abrams","29"
"TP:28281","Boxing & MMA","29"
"TP:103668","Lisa Abramowicz","29"
"TP:103666","Tom Keene (radio host)","29"
"TP:220763","Spirit Airlines","29"
"TP:103198","Amin Elhassan","29"
"TP:140998","Anthony Broome","29"
"TP:29088","fatherhood","29"
"TP:34438","Jimmy Kimmel","29"
"TP:117820","Michael F. Florio","29"
"TP:115968","Christine Pedi","29"
"TP:137507","exercising","28"
"TP:33122","Kofi Kingston","28"
"TP:122927","Cody Alan","28"
"TP:86637","Major League Soccer","28"
"TP:143536","Tyler Terens (SXM host)","28"
"TP:43347","Todd Haley","28"
"TP:32168","Xavier Woods (wrestler)","28"
"TP:2027596","The Real Housewives of Rhode Island (series)","28"
"TP:103674","Tim Stenovec","28"
"TP:259436","Ian Mohr","28"
"TP:103673","Carol Massar","28"
"TP:50621","Stephen J. Dubner","28"
"TP:83401","New York Rangers","28"
"TP:83294","Detroit Lions","28"
"TP:139200","socialism","28"
"TP:56802","Los Angeles Angels","28"
"TP:106200","Kirk Franklin","28"
"TP:28323","theme parks & family travel","28"
"TP:139086","The Valley (series)","27"
"TP:120753","Kyle Cantrell (SiriusXM Host)","27"
"TP:29023","cybersecurity","27"
"TP:103373","Jeff Erickson (SiriusXM Host)","27"
"TP:124783","Myra","27"
"TP:148534","petroleum industry","27"
"TP:62796","Ray Hudson","27"
"TP:140086","David Shepard","27"
"TP:141345","CONCACAF Champions Cup","27"
"TP:28298","historical figures","27"
"TP:103299","Jensen Lewis","27"
"TP:113148","Robbie Leslie","27"
"TP:141423","Lee Spencer","27"
"TP:135673","LSU Tigers","27"
"TP:28857","Kim Kardashian","27"
"TP:33563","Bobby Bones","27"
"TP:103155","Mike Babchik (SiriusXM Host)","27"
"TP:38972","New Orleans Saints","27"
"TP:31344","Chris Jones (American football)","27"
"TP:125634","El Pinche Mara, C-KAN & Lefty SM","27"
"TP:155537","Jason Pennington","27"
"TP:155536","Virginia Sinicki","27"
"TP:106773","Peter Green","27"
"TP:116088","Wes Durham","27"
"TP:132843","Sheer Mag","27"
"TP:116041","Jason Sobel","27"
"TP:33654","Jim Rome","27"
"TP:134853","law enforcement","27"
"TP:236829","Bloomberg News","27"
"TP:155538","Kevin Rolston","27"
"TP:35537","Peter Rosenberg","27"
"TP:29156","Morning Talk Shows","27"
"TP:133686","Will MacKenzie","27"
"TP:139967","AEW Dynamite","26"
"TP:113484","Rob Sharkey","26"
"TP:112940","Wu-Tang Clan","26"
"TP:103213","Arlene Bynon","26"
"TP:123944","Jordan Feliz","26"
"TP:139190","Gaza","26"
"TP:110094","Red Hot Chili Peppers","26"
"TP:157764","wealth tax","26"
"TP:116962","Jonathan Schwartz (SiriusXM Host)","26"
"TP:149493","Page Six","26"
"TP:103237","Jeff Ratcliffe (SiriusXM Host)","26"
"TP:109476","RZA","26"
"TP:37845","Kelly Evans","26"
"TP:105047","Keith Roth (SiriusXM Host)","26"
"TP:259164","Armstrong & Getty","26"
"TP:85771","Atlantic Coast Conference","26"
"TP:149842","John Delony","26"
"TP:28271","animation","26"
"TP:117522","Mercedes Javid","26"
"TP:41395","Karen Hunter","26"
"TP:43918","Fred Norris","26"
"TP:41790","Chase Elliott","26"
"TP:124054","Hendrick Motorsports","26"
"TP:32799","Angela Yee","26"
"TP:83600","Boston Bruins","25"
"TP:40996","Eddie Johnson (SiriusXM Host)","25"
"TP:103236","Dion Deezy (SiriusXM Host)","25"
"TP:105064","Karen Carson (SiriusXM Host)","25"
"TP:33534","Marco Rubio","25"
"TP:106748","Larry The Cable Guy","25"
"TP:109229","Charlamagne Tha God","25"
"TP:28996","chef interviews","25"
"TP:109959","Tom Papa","25"
"TP:116477","Alex Cooper","25"
"TP:2029420","Cadillac Championship","25"
"TP:117836","John McKechnie (SiriusXM Host)","25"
"TP:40267","Alexis Madrigal","25"
"TP:140803","MAGA","25"
"TP:31395","Seth Rollins","25"
"TP:103220","Janet Alvarez (SiriusXM Host)","25"
"TP:105054","Jim Ryan (SiriusXM Host)","25"
"TP:105972","City Girls","25"
"TP:140119","racism","25"
"TP:103102","Adam Schein","25"
"TP:50476","John Fugelsang","25"
"TP:83319","Jacksonville Jaguars","25"
"TP:119466","Danielle Trotta","25"
"TP:86628","FIFA World Cup","25"
"TP:29062","John Cena","25"
"TP:42362","Bron Breakker","25"
"TP:109262","Alice Cooper","25"
"TP:104177","Jen Morejon (SiriusXM Host)","25"
"TP:35184","Dana Perino","25"
"TP:83404","Golden State Warriors","24"
"TP:38393","Jesse Watters","24"
"TP:138862","PGA Championship","24"
"TP:112703","Bruce Springsteen & The E Street Band","24"
"TP:103923","Kim Ashley (SiriusXM Host)","24"
"TP:110313","Sebastian Maniscalco","24"
"TP:117837","Clay Link","24"
"TP:118564","David Aardsma","24"
"TP:117839","Mario Puig (SiriusXM Host)","24"
"TP:67163","Mya","24"
"TP:103229","Fred 'Bugsy' Buggs (SiriusXM Host)","24"
"TP:34180","Keyshawn Johnson","24"
"TP:186247","Elite","24"
"TP:199194","FCC","24"
"TP:35477","Phoebe Bridgers","24"
"TP:69969","Justin Morneau","24"
"TP:122506","Freddie Coleman","24"
"TP:140585","NASCAR Truck Series","24"
"TP:43489","Dean Obeidallah","24"
"TP:103264","Jeff Mans (SiriusXM Host)","24"
"TP:28322","theater","24"
"TP:145559","Robert Damron","24"
"TP:2022663","David Gass (sportscaster)","24"
